mandi,crop,gross_price,distance_km,perishability,days_in_storage,net_earning,action
Azadpur Mandi,Wheat,2915.0,29.4,1,42,2004.86,2
Azadpur Mandi,Wheat,2810.0,22.4,1,18,2336.5,2
Azadpur Mandi,Wheat,2600.0,5.0,2,35,1460.44,2
Azadpur Mandi,Wheat,3092.0,26.3,2,1,2837.89,2
Azadpur Mandi,Wheat,3020.0,30.6,2,1,2742.69,2
Azadpur Mandi,Wheat,2500.0,36.2,1,11,2085.44,0
Azadpur Mandi,Wheat,2700.0,19.9,2,24,1798.94,1
Azadpur Mandi,Wheat,2925.0,19.9,1,41,2071.31,2
Azadpur Mandi,Wheat,2765.0,35.6,1,43,1852.11,2
Azadpur Mandi,Wheat,3025.0,35.9,1,2,2716.11,2
Azadpur Mandi,Wheat,3100.0,25.3,1,38,2228.15,2
Azadpur Mandi,Wheat,2771.0,34.7,2,13,2116.23,0
Azadpur Mandi,Wheat,3075.0,5.0,2,19,2303.26,2
Azadpur Mandi,Wheat,2850.0,16.9,1,43,1997.17,2
Azadpur Mandi,Wheat,2885.0,5.0,2,16,2260.22,1
Azadpur Mandi,Wheat,2850.0,7.9,2,1,2712.65,2
Azadpur Mandi,Wheat,2740.0,8.8,2,28,1747.91,1
Azadpur Mandi,Wheat,2450.0,31.0,2,33,1337.86,2
Azadpur Mandi,Wheat,2924.0,32.8,2,30,1707.98,1
Azadpur Mandi,Wheat,3100.0,12.9,2,22,2179.0,1
Azadpur Mandi,Wheat,3155.0,12.9,2,44,1422.84,2
Azadpur Mandi,Wheat,2850.0,20.4,2,25,1869.42,1
Azadpur Mandi,Wheat,2740.0,11.3,2,44,1235.41,2
Azadpur Mandi,Wheat,2820.0,11.9,1,0,2692.2,2
Azadpur Mandi,Wheat,2850.0,36.0,2,0,2577.0,2
Azadpur Mandi,Wheat,2800.0,5.0,1,16,2453.46,2
Azadpur Mandi,Wheat,2800.0,27.0,1,4,2520.03,2
Azadpur Mandi,Wheat,2820.0,33.5,1,7,2454.97,2
Azadpur Mandi,Wheat,2962.0,13.1,2,22,2078.58,1
